"Nama produk","Harga minimum IDR","Harga maksimum IDR","Sumber Shopee","Foto utama","Tanggal akses"
"Zyrabelle Lolly Pants Highwaist Celana Kulot Panjang Wanita","135000","199000","https://shopee.co.id/product/178806095/22048259108","foto/01-zyrabelle-lolly-pants-highwaist-celana-kulot-panjang-wanita.jpg","2026-09-04"
"Zyrabelle Alice Vest Tali Samping Wanita","159000","169000","https://shopee.co.id/product/178806095/42009725833","foto/02-zyrabelle-alice-vest-tali-samping-wanita.jpg","2026-09-04"
"Zyrabelle Lara Pants Highwaist Celana Kulot Wanita Bahan Katun Linen","229000","239000","https://shopee.co.id/product/178806095/24095862843","foto/03-zyrabelle-lara-pants-highwaist-celana-kulot-wanita-bahan-katun-linen.jpg","2026-09-04"
"Zyrabelle Leone Skirt Rok Katun Linen Polos Wanita","250000","250000","https://shopee.co.id/Zyrabelle-Leone-Skirt-Rok-Katun-Linen-Polos-Wanita-i.178806095.40507603911","foto/04-zyrabelle-leone-skirt-rok-katun-linen-polos-wanita.jpg","2026-09-04"
"Zyrabelle Barrel Pants Celana Kulot Panjang Wanita","299000","299000","https://shopee.co.id/Zyrabelle-Barrel-Pants-Celana-Kulot-Panjang-Wanita-i.178806095.48411932495","foto/05-zyrabelle-barrel-pants-celana-kulot-panjang-wanita.jpg","2026-09-04"
"Zyrabelle Kimmy Cardigan Outer Knit Wanita Polos Basic Lengan Panjang","149000","149000","https://shopee.co.id/Zyrabelle-Kimmy-Cardigan-Outer-Knit-Wanita-Polos-Basic-Lengan-Panjang-i.178806095.27954251776","foto/06-zyrabelle-kimmy-cardigan-outer-knit-wanita-polos-basic-lengan-panjang.jpg","2026-09-04"
"Zyrabelle Janne Kemeja Wanita Crop Top Lengan Panjang Oversize","115000","125000","https://shopee.co.id/Zyrabelle-Janne-Kemeja-Wanita-Crop-Top-Lengan-Panjang-Oversize-i.178806095.17292260790","foto/07-zyrabelle-janne-kemeja-wanita-crop-top-lengan-panjang-oversize.jpg","2026-09-04"
"Zyrabelle Sārra Abaya Dress Muslim Wanita Bahan Katun Premium Lembut","285000","285000","https://shopee.co.id/Zyrabelle-S%C4%81rra-Abaya-Dress-Muslim-Wanita-Bahan-Katun-Premium-Lembut-i.178806095.24265793826","foto/08-zyrabelle-sa-rra-abaya-dress-muslim-wanita-bahan-katun-premium-lembut.jpg","2026-09-04"
"Zyrabelle Kemeja Blouse Wanita Linen Lengan Panjang Oversize Evelyn","139000","139000","https://shopee.co.id/Zyrabelle-Kemeja-Blouse-Wanita-Linen-Lengan-Panjang-Oversize-Evelyn-i.178806095.18472225665","foto/09-zyrabelle-kemeja-blouse-wanita-linen-lengan-panjang-oversize-evelyn.jpg","2026-09-04"
"Zyrabelle Jema Blouse Atasan Wanita Lengan Panjang Bahan Katun Premium Motif Bunga Embroidery","299000","399000","https://shopee.co.id/Zyrabelle-Jema-Blouse-Atasan-Wanita-Lengan-Panjang-Bahan-Katun-Premium-Motif-Bunga-Embroidery-i.178806095.54604608463","foto/10-zyrabelle-jema-blouse-atasan-wanita-lengan-panjang-bahan-katun-premium-motif-bunga-embroidery.jpg","2026-09-04"
"Zyrabelle Kaia Outer Tunik Wanita Atasan Lengan Panjang Bahan Katun Premium Motif Bunga Embroidery","389000","449000","https://shopee.co.id/Zyrabelle-Kaia-Outer-Tunik-Wanita-Atasan-Lengan-Panjang-Bahan-Katun-Premium-Motif-Bunga-Embroidery-i.178806095.48104654863","foto/11-zyrabelle-kaia-outer-tunik-wanita-atasan-lengan-panjang-bahan-katun-premium-motif-bunga-embroidery.jpg","2026-09-04"
"Zyrabelle Alysha Dress Abaya Wanita Lengan Panjang Bahan Silk Cardigan","115000","149000","https://shopee.co.id/Zyrabelle-Alysha-Dress-Abaya-Wanita-Lengan-Panjang-Bahan-Silk-Cardigan-i.178806095.19476105895","foto/12-zyrabelle-alysha-dress-abaya-wanita-lengan-panjang-bahan-silk-cardigan.jpg","2026-09-04"
"Zyrabelle Kemeja Oversize Crop Linen Wanita Janne Taupe","115000","115000","https://shopee.co.id/Zyrabelle-Kemeja-Oversize-Crop-Linen-Wanita-Janne-Taupe-i.178806095.22422760610","foto/13-zyrabelle-kemeja-oversize-crop-linen-wanita-janne-taupe.jpg","2026-09-04"
